Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000019	GCF_000007445:NC_004431.1:1153232-1152879	GCF_000007445:PLMNMHBN_01078	hypothetical protein		
g000020	GCF_000007445:NC_004431.1:1163191-1164804	GCF_000007445:PLMNMHBN_01089	tRNA nuclease CdiA	3.1.-.-	
g000021	GCF_000007445:NC_004431.1:1165325-1165702	GCF_000007445:PLMNMHBN_01091	hypothetical protein		
g000022	GCF_000007445:NC_004431.1:1165927-1166082	GCF_000007445:PLMNMHBN_01093	hypothetical protein		
g000023	GCF_000007445:NC_004431.1:1166202-1166597	GCF_000007445:PLMNMHBN_01094	hypothetical protein		
g000024	GCF_000007445:NC_004431.1:1167092-1166568	GCF_000007445:PLMNMHBN_01095	hypothetical protein		
g000025	GCF_000007445:NC_004431.1:1167823-1168386	GCF_000007445:PLMNMHBN_01097	hypothetical protein		
g000026	GCF_000007445:NC_004431.1:1169257-1169544	GCF_000007445:PLMNMHBN_01099	hypothetical protein		
g000027	GCF_000007445:NC_004431.1:1174653-1174438	GCF_000007445:PLMNMHBN_01104	hypothetical protein		
g000028	GCF_000007445:NC_004431.1:1175293-1174628	GCF_000007445:PLMNMHBN_01105	hypothetical protein		
g000029	GCF_000007445:NC_004431.1:1175588-1175364	GCF_000007445:PLMNMHBN_01106	hypothetical protein		
g000030	GCF_000007445:NC_004431.1:1176487-1176326	GCF_000007445:PLMNMHBN_01108	hypothetical protein		
g000031	GCF_000007445:NC_004431.1:1176756-1177049	GCF_000007445:PLMNMHBN_01110	Microcin H47		
g000032	GCF_000007445:NC_004431.1:1178897-1179349	GCF_000007445:PLMNMHBN_01112	hypothetical protein		
g000033	GCF_000007445:NC_004431.1:1184881-1185072	GCF_000007445:PLMNMHBN_01118	hypothetical protein		
g000034	GCF_000007445:NC_004431.1:1188213-1188755	GCF_000007445:PLMNMHBN_01124	S-fimbrial protein subunit SfaA		
g000035	GCF_000007445:NC_004431.1:1190171-1192801	GCF_000007445:PLMNMHBN_01127	Outer membrane usher protein FimD		
g000036	GCF_000007445:NC_004431.1:1192814-1193341	GCF_000007445:PLMNMHBN_01128	S-fimbrial protein subunit SfaG		
g000037	GCF_000007445:NC_004431.1:1193363-1193866	GCF_000007445:PLMNMHBN_01129	S-fimbrial adhesin protein SfaS		
g000038	GCF_000007445:NC_004431.1:1197920-1196895	GCF_000007445:PLMNMHBN_01133	hypothetical protein		
g000039	GCF_000007445:NC_004431.1:1206417-1202758	GCF_000007445:PLMNMHBN_01137	Multidrug efflux ATP-binding/permease protein	3.6.3.-	
g000040	GCF_000007445:NC_004431.1:1210404-1210688	GCF_000007445:PLMNMHBN_01141	hypothetical protein		
g000041	GCF_000007445:NC_004431.1:1211152-1211228	GCF_000007445:PLMNMHBN_01142	tRNA-Arg(tct)		
g000042	GCF_000007445:NC_004431.1:1212342-1211977	GCF_000007445:PLMNMHBN_01145	Transposase for transposon Tn5	3.1.-.-	
g000043	GCF_000007445:NC_004431.1:1214183-1213743	GCF_000007445:PLMNMHBN_01148	Transposase for transposon Tn5	3.1.-.-	
g000044	GCF_000007445:NC_004431.1:1219723-1220859	GCF_000007445:PLMNMHBN_01153	Secretory immunoglobulin A-binding protein EsiB		
g000045	GCF_000007445:NC_004431.1:1220895-1221437	GCF_000007445:PLMNMHBN_01154	hypothetical protein		
g000046	GCF_000007445:NC_004431.1:1223520-1223287	GCF_000007445:PLMNMHBN_01155	hypothetical protein		
g000047	GCF_000007445:NC_004431.1:1237770-1237961	GCF_000007445:PLMNMHBN_01169	Cytoskeleton bundling-enhancing antitoxin CbeA		
g000048	GCF_000007445:NC_004431.1:1237977-1238144	GCF_000007445:PLMNMHBN_01170	Cytoskeleton bundling-enhancing antitoxin CbeA		
g000049	GCF_000007445:NC_004431.1:1239076-1239273	GCF_000007445:PLMNMHBN_01173	hypothetical protein		
g000050	GCF_000007445:NC_004431.1:1240069-1240896	GCF_000007445:PLMNMHBN_01175	hypothetical protein		
g000051	GCF_000007445:NC_004431.1:1257078-1257305	GCF_000007445:PLMNMHBN_01194	hypothetical protein		
g000052	GCF_000007445:NC_004431.1:1270306-1270671	GCF_000007445:PLMNMHBN_01211	Putative oxidoreductase YceM	1.-.-.-	
g000053	GCF_000007445:NC_004431.1:1276078-1277283	GCF_000007445:PLMNMHBN_01220	Flagellar hook protein FlgE		
g000054	GCF_000007445:NC_004431.1:1280872-1281813	GCF_000007445:PLMNMHBN_01225	Peptidoglycan hydrolase FlgJ	3.2.1.-	
g000055	GCF_000007445:NC_004431.1:129003-129293	GCF_000007445:PLMNMHBN_00118	Colicin-E7 immunity protein		
g000056	GCF_000007445:NC_004431.1:1294169-1294906	GCF_000007445:PLMNMHBN_01236	3-oxoacyl-[acyl-carrier-protein] reductase FabG	1.1.1.100	
g000057	GCF_000007445:NC_004431.1:1296801-1297583	GCF_000007445:PLMNMHBN_01239	Aminodeoxychorismate lyase	4.1.3.38	
g000058	GCF_000007445:NC_004431.1:129691-129984	GCF_000007445:PLMNMHBN_00119	Colicin-E7 immunity protein		
g000059	GCF_000007445:NC_004431.1:1297673-1298635	GCF_000007445:PLMNMHBN_01240	Endolytic murein transglycosylase	4.2.2.-	
g000060	GCF_000007445:NC_004431.1:130380-130670	GCF_000007445:PLMNMHBN_00120	Colicin-E7 immunity protein		
g000061	GCF_000007445:NC_004431.1:1318240-1315400	GCF_000007445:PLMNMHBN_01259	Transcription-repair-coupling factor	3.6.4.-	
g000062	GCF_000007445:NC_004431.1:1332343-1332155	GCF_000007445:PLMNMHBN_01274	hypothetical protein		
g000063	GCF_000007445:NC_004431.1:1332744-1332947	GCF_000007445:PLMNMHBN_01275	hypothetical protein		
g000064	GCF_000007445:NC_004431.1:1334993-1336057	GCF_000007445:PLMNMHBN_01282	hypothetical protein		
g000065	GCF_000007445:NC_004431.1:1336098-1336520	GCF_000007445:PLMNMHBN_01283	hypothetical protein		
g000066	GCF_000007445:NC_004431.1:1336578-1336934	GCF_000007445:PLMNMHBN_01284	hypothetical protein		
g000067	GCF_000007445:NC_004431.1:1340257-1340613	GCF_000007445:PLMNMHBN_01290	Crossover junction endodeoxyribonuclease RusA	3.1.22.4	
g000068	GCF_000007445:NC_004431.1:1342387-1342463	GCF_000007445:PLMNMHBN_01294	tRNA-Arg(tcg)		
g000069	GCF_000007445:NC_004431.1:1344061-1344249	GCF_000007445:PLMNMHBN_01297	hypothetical protein		
g000070	GCF_000007445:NC_004431.1:1344777-1345121	GCF_000007445:PLMNMHBN_01299	putative protein YdfR		
g000071	GCF_000007445:NC_004431.1:1345359-1345087	GCF_000007445:PLMNMHBN_01300	hypothetical protein		
g000072	GCF_000007445:NC_004431.1:1345465-1345998	GCF_000007445:PLMNMHBN_01301	Lysozyme RrrD	3.2.1.17	
g000073	GCF_000007445:NC_004431.1:1345995-1346462	GCF_000007445:PLMNMHBN_01302	hypothetical protein		
g000074	GCF_000007445:NC_004431.1:1346805-1347329	GCF_000007445:PLMNMHBN_01304	hypothetical protein		
g000075	GCF_000007445:NC_004431.1:1348728-1349237	GCF_000007445:PLMNMHBN_01306	hypothetical protein		
g000076	GCF_000007445:NC_004431.1:1362819-1363562	GCF_000007445:PLMNMHBN_01323	hypothetical protein		
g000077	GCF_000007445:NC_004431.1:136658-137935	GCF_000007445:PLMNMHBN_00126	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	2.3.1.12	
g000078	GCF_000007445:NC_004431.1:1368995-1371058	GCF_000007445:PLMNMHBN_01327	hypothetical protein		
g000079	GCF_000007445:NC_004431.1:1371055-1371333	GCF_000007445:PLMNMHBN_01328	hypothetical protein		
g000080	GCF_000007445:NC_004431.1:1371343-1371636	GCF_000007445:PLMNMHBN_01329	hypothetical protein		
g000081	GCF_000007445:NC_004431.1:1373915-1373052	GCF_000007445:PLMNMHBN_01332	Spermidine/putrescine transport system permease protein PotB		
g000082	GCF_000007445:NC_004431.1:1379766-1381052	GCF_000007445:PLMNMHBN_01337	hypothetical protein		
g000083	GCF_000007445:NC_004431.1:1381269-1381490	GCF_000007445:PLMNMHBN_01339	hypothetical protein		
g000084	GCF_000007445:NC_004431.1:1381706-1381939	GCF_000007445:PLMNMHBN_01341	hypothetical protein		
g000085	GCF_000007445:NC_004431.1:1382241-1383995	GCF_000007445:PLMNMHBN_01343	hypothetical protein		
g000086	GCF_000007445:NC_004431.1:1384284-1384541	GCF_000007445:PLMNMHBN_01344	hypothetical protein		
g000087	GCF_000007445:NC_004431.1:1384538-1384948	GCF_000007445:PLMNMHBN_01345	Single-stranded DNA-binding protein		
g000088	GCF_000007445:NC_004431.1:1384959-1385207	GCF_000007445:PLMNMHBN_01346	hypothetical protein		
g000089	GCF_000007445:NC_004431.1:1386735-1387070	GCF_000007445:PLMNMHBN_01349	hypothetical protein		
g000090	GCF_000007445:NC_004431.1:1387083-1387496	GCF_000007445:PLMNMHBN_01350	hypothetical protein		
g000091	GCF_000007445:NC_004431.1:1387659-1388093	GCF_000007445:PLMNMHBN_01351	hypothetical protein		
g000092	GCF_000007445:NC_004431.1:1388373-1388654	GCF_000007445:PLMNMHBN_01352	hypothetical protein		
g000093	GCF_000007445:NC_004431.1:1395846-1395370	GCF_000007445:PLMNMHBN_01359	Ribosomal large subunit pseudouridine synthase E	5.4.99.20	
g000094	GCF_000007445:NC_004431.1:1400051-1399872	GCF_000007445:PLMNMHBN_01364	hypothetical protein		
g000095	GCF_000007445:NC_004431.1:1400740-1400456	GCF_000007445:PLMNMHBN_01366	hypothetical protein		
g000096	GCF_000007445:NC_004431.1:1401473-1400733	GCF_000007445:PLMNMHBN_01367	hypothetical protein		
g000097	GCF_000007445:NC_004431.1:1401721-1401470	GCF_000007445:PLMNMHBN_01368	hypothetical protein		
g000098	GCF_000007445:NC_004431.1:1402214-1401681	GCF_000007445:PLMNMHBN_01369	hypothetical protein		
g000099	GCF_000007445:NC_004431.1:1402486-1402232	GCF_000007445:PLMNMHBN_01370	hypothetical protein		
g000100	GCF_000007445:NC_004431.1:1402757-1402488	GCF_000007445:PLMNMHBN_01371	hypothetical protein		
g000101	GCF_000007445:NC_004431.1:1405668-1405210	GCF_000007445:PLMNMHBN_01374	hypothetical protein		
g000102	GCF_000007445:NC_004431.1:1406468-1406277	GCF_000007445:PLMNMHBN_01376	hypothetical protein		
g000103	GCF_000007445:NC_004431.1:1413562-1413858	GCF_000007445:PLMNMHBN_01392	hypothetical protein		
g000104	GCF_000007445:NC_004431.1:141590-139809	GCF_000007445:PLMNMHBN_00128	hypothetical protein		
g000105	GCF_000007445:NC_004431.1:1423173-1422880	GCF_000007445:PLMNMHBN_01408	hypothetical protein		
g000106	GCF_000007445:NC_004431.1:1429149-1430654	GCF_000007445:PLMNMHBN_01415	Putative signal peptide peptidase SppA	3.4.21.-	
g000107	GCF_000007445:NC_004431.1:1433483-1433878	GCF_000007445:PLMNMHBN_01421	hypothetical protein		
g000108	GCF_000007445:NC_004431.1:1433886-1434020	GCF_000007445:PLMNMHBN_01422	hypothetical protein		
g000109	GCF_000007445:NC_004431.1:1434287-1434622	GCF_000007445:PLMNMHBN_01423	hypothetical protein		
g000110	GCF_000007445:NC_004431.1:1438027-1438356	GCF_000007445:PLMNMHBN_01427	hypothetical protein		
g000111	GCF_000007445:NC_004431.1:1443974-1445635	GCF_000007445:PLMNMHBN_01432	hypothetical protein		
g000112	GCF_000007445:NC_004431.1:1445744-1446034	GCF_000007445:PLMNMHBN_01433	hypothetical protein		
g000113	GCF_000007445:NC_004431.1:1446322-1446615	GCF_000007445:PLMNMHBN_01435	hypothetical protein		
g000114	GCF_000007445:NC_004431.1:1450150-1449293	GCF_000007445:PLMNMHBN_01439	Putative metal ABC transporter substrate-binding protein Hpf		
g000115	GCF_000007445:NC_004431.1:1455579-1455815	GCF_000007445:PLMNMHBN_01446	putative two-component-system connector protein YcgZ		
g000116	GCF_000007445:NC_004431.1:1459208-1459570	GCF_000007445:PLMNMHBN_01451	hypothetical protein		
g000117	GCF_000007445:NC_004431.1:1464077-1463382	GCF_000007445:PLMNMHBN_01458	Septum site-determining protein MinC		
g000118	GCF_000007445:NC_004431.1:1465728-1466021	GCF_000007445:PLMNMHBN_01461	Protein YcgL		
g000119	GCF_000007445:NC_004431.1:1476306-1477376	GCF_000007445:PLMNMHBN_01471	Alanine racemase, catabolic	5.1.1.1	
g000120	GCF_000007445:NC_004431.1:1479169-1477433	GCF_000007445:PLMNMHBN_01472	K(+)/H(+) antiporter NhaP2		
g000121	GCF_000007445:NC_004431.1:1526319-1527335	GCF_000007445:PLMNMHBN_01516	2-alkyl-3-oxoalkanoate reductase	1.1.1.412	
g000122	GCF_000007445:NC_004431.1:153907-154677	GCF_000007445:PLMNMHBN_00139	Inner membrane transport permease YadH		
g000123	GCF_000007445:NC_004431.1:1546826-1547746	GCF_000007445:PLMNMHBN_01537	Oligopeptide transport system permease protein OppB		
g000124	GCF_000007445:NC_004431.1:154782-155222	GCF_000007445:PLMNMHBN_00140	PTS system fructose-specific EIIA component		
g000125	GCF_000007445:NC_004431.1:1559696-1559193	GCF_000007445:PLMNMHBN_01551	Protein YciF		
g000126	GCF_000007445:NC_004431.1:157173-158117	GCF_000007445:PLMNMHBN_00143	Recombination-promoting nuclease RpnD	3.1.21.-	
g000127	GCF_000007445:NC_004431.1:1583627-1584391	GCF_000007445:PLMNMHBN_01572	Phosphatidylglycerophosphatase B	3.1.3.27	
g000128	GCF_000007445:NC_004431.1:1586067-1586951	GCF_000007445:PLMNMHBN_01575	Orotidine 5'-phosphate decarboxylase	4.1.1.23	
g000129	GCF_000007445:NC_004431.1:159229-158465	GCF_000007445:PLMNMHBN_00145	Pantothenate synthetase	6.3.2.1	
g000130	GCF_000007445:NC_004431.1:1595330-1594542	GCF_000007445:PLMNMHBN_01583	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	1.3.1.9	
g000131	GCF_000007445:NC_004431.1:1596523-1597644	GCF_000007445:PLMNMHBN_01585	Multidrug resistance protein MexA		
g000132	GCF_000007445:NC_004431.1:1609188-1608943	GCF_000007445:PLMNMHBN_01594	hypothetical protein		
g000133	GCF_000007445:NC_004431.1:1612072-1612293	GCF_000007445:PLMNMHBN_01599	Phage shock protein D		
g000134	GCF_000007445:NC_004431.1:1619512-1620567	GCF_000007445:PLMNMHBN_01607	Myo-inositol 2-dehydrogenase	1.1.1.18	
g000135	GCF_000007445:NC_004431.1:1631432-1630926	GCF_000007445:PLMNMHBN_01616	Thiol peroxidase	1.11.1.15	
g000136	GCF_000007445:NC_004431.1:163359-162793	GCF_000007445:PLMNMHBN_00150	putative fimbrial-like protein YadM		
g000137	GCF_000007445:NC_004431.1:1643748-1644053	GCF_000007445:PLMNMHBN_01630	Multidrug resistance protein MdtN		
g000138	GCF_000007445:NC_004431.1:1663620-1663946	GCF_000007445:PLMNMHBN_01647	hypothetical protein		
g000139	GCF_000007445:NC_004431.1:1664321-1665238	GCF_000007445:PLMNMHBN_01648	hypothetical protein		
g000140	GCF_000007445:NC_004431.1:1665366-1670360	GCF_000007445:PLMNMHBN_01649	hypothetical protein		
g000141	GCF_000007445:NC_004431.1:1675050-1676318	GCF_000007445:PLMNMHBN_01654	putative protein YnbD		
g000142	GCF_000007445:NC_004431.1:16953-17714	GCF_000007445:PLMNMHBN_00017	hypothetical protein		
g000143	GCF_000007445:NC_004431.1:1697478-1699481	GCF_000007445:PLMNMHBN_01674	putative protease YdcP	3.4.-.-	
g000144	GCF_000007445:NC_004431.1:1703111-1704124	GCF_000007445:PLMNMHBN_01678	Spermidine/putrescine import ATP-binding protein PotA	3.6.3.31	
g000145	GCF_000007445:NC_004431.1:1709348-1709584	GCF_000007445:PLMNMHBN_01686	HTH-type transcriptional regulator McbR		
g000146	GCF_000007445:NC_004431.1:1710872-1709622	GCF_000007445:PLMNMHBN_01687	Catecholate siderophore receptor Fiu		
g000147	GCF_000007445:NC_004431.1:1711725-1710862	GCF_000007445:PLMNMHBN_01688	Colicin I receptor		
g000148	GCF_000007445:NC_004431.1:1719189-1719404	GCF_000007445:PLMNMHBN_01696	hypothetical protein		
g000149	GCF_000007445:NC_004431.1:1720829-1721794	GCF_000007445:PLMNMHBN_01698	hypothetical protein		
g000150	GCF_000007445:NC_004431.1:1721906-1722190	GCF_000007445:PLMNMHBN_01699	hypothetical protein		
g000151	GCF_000007445:NC_004431.1:1722209-1724614	GCF_000007445:PLMNMHBN_01700	Actin cross-linking toxin VgrG1	6.3.2.-	
g000152	GCF_000007445:NC_004431.1:1725172-1725504	GCF_000007445:PLMNMHBN_01702	hypothetical protein		
g000153	GCF_000007445:NC_004431.1:1725663-1725992	GCF_000007445:PLMNMHBN_01703	hypothetical protein		
g000154	GCF_000007445:NC_004431.1:1726223-1726717	GCF_000007445:PLMNMHBN_01704	hypothetical protein		
g000155	GCF_000007445:NC_004431.1:1727515-1727730	GCF_000007445:PLMNMHBN_01706	hypothetical protein		
g000156	GCF_000007445:NC_004431.1:1780567-1781475	GCF_000007445:PLMNMHBN_01749	HTH-type transcriptional regulator PgrR		
g000157	GCF_000007445:NC_004431.1:1781828-1781628	GCF_000007445:PLMNMHBN_01750	hypothetical protein		
g000158	GCF_000007445:NC_004431.1:1783191-1781779	GCF_000007445:PLMNMHBN_01751	Serine/threonine-protein kinase toxin HipA	2.7.11.1	
g000159	GCF_000007445:NC_004431.1:185446-186867	GCF_000007445:PLMNMHBN_00167	H(+)/Cl(-) exchange transporter ClcA		
g000160	GCF_000007445:NC_004431.1:1867442-1869670	GCF_000007445:PLMNMHBN_01831	Electron transport complex subunit RsxC		
g000161	GCF_000007445:NC_004431.1:1913562-1913798	GCF_000007445:PLMNMHBN_01879	Major outer membrane prolipoprotein Lpp		
g000162	GCF_000007445:NC_004431.1:1938999-1940645	GCF_000007445:PLMNMHBN_01904	Medium-chain fatty-acid--CoA ligase	6.2.1.-	
g000163	GCF_000007445:NC_004431.1:1965308-1965898	GCF_000007445:PLMNMHBN_01931	Inner membrane protein YdjM		
g000164	GCF_000007445:NC_004431.1:1983579-1982101	GCF_000007445:PLMNMHBN_01948	N-succinylglutamate 5-semialdehyde dehydrogenase	1.2.1.71	
g000165	GCF_000007445:NC_004431.1:1984610-1983663	GCF_000007445:PLMNMHBN_01949	Arginine N-succinyltransferase	2.3.1.109	
g000166	GCF_000007445:NC_004431.1:1999557-1997614	GCF_000007445:PLMNMHBN_01964	Secretory immunoglobulin A-binding protein EsiB		
g000167	GCF_000007445:NC_004431.1:2002124-2001324	GCF_000007445:PLMNMHBN_01966	hypothetical protein		
g000168	GCF_000007445:NC_004431.1:2016063-2015020	GCF_000007445:PLMNMHBN_01978	putative zinc-type alcohol dehydrogenase-like protein YdjJ	1.-.-.-	
g000169	GCF_000007445:NC_004431.1:203554-203907	GCF_000007445:PLMNMHBN_00184	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267	
g000170	GCF_000007445:NC_004431.1:204087-204752	GCF_000007445:PLMNMHBN_00185	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267	
g000171	GCF_000007445:NC_004431.1:2053720-2054691	GCF_000007445:PLMNMHBN_02015	PTS system mannose-specific EIIAB component	2.7.1.191	
g000172	GCF_000007445:NC_004431.1:2073714-2073989	GCF_000007445:PLMNMHBN_02034	hypothetical protein		
g000173	GCF_000007445:NC_004431.1:2083191-2083736	GCF_000007445:PLMNMHBN_02048	Formate-dependent phosphoribosylglycinamide formyltransferase	2.1.2.-	
g000174	GCF_000007445:NC_004431.1:2088306-2088157	GCF_000007445:PLMNMHBN_02052	hypothetical protein		
g000175	GCF_000007445:NC_004431.1:2104995-2105966	GCF_000007445:PLMNMHBN_02071	tRNA U34 carboxymethyltransferase	2.5.1.-	
g000176	GCF_000007445:NC_004431.1:2117012-2115864	GCF_000007445:PLMNMHBN_02079	Flagellar biosynthetic protein FlhB		
g000177	GCF_000007445:NC_004431.1:2167636-2168322	GCF_000007445:PLMNMHBN_02136	Flagellar assembly protein FliH		
g000178	GCF_000007445:NC_004431.1:2177280-2178095	GCF_000007445:PLMNMHBN_02150	Mannosyl-3-phosphoglycerate phosphatase	3.1.3.70	
g000179	GCF_000007445:NC_004431.1:2185819-2186877	GCF_000007445:PLMNMHBN_02159	Outer membrane protein YedS		
g000180	GCF_000007445:NC_004431.1:2193014-2193646	GCF_000007445:PLMNMHBN_02166	Metal-binding protein ZinT		
g000181	GCF_000007445:NC_004431.1:2194512-2195732	GCF_000007445:PLMNMHBN_02167	Prophage integrase IntA		
g000182	GCF_000007445:NC_004431.1:2207295-2207480	GCF_000007445:PLMNMHBN_02180	hypothetical protein		
g000183	GCF_000007445:NC_004431.1:2214867-2214571	GCF_000007445:PLMNMHBN_02189	hypothetical protein		
g000184	GCF_000007445:NC_004431.1:2218378-2219421	GCF_000007445:PLMNMHBN_02196	Prophage integrase IntA		
g000185	GCF_000007445:NC_004431.1:2232063-2233946	GCF_000007445:PLMNMHBN_02204	Phenyloxazoline synthase MbtB	6.3.2.-	
g000186	GCF_000007445:NC_004431.1:2236408-2239014	GCF_000007445:PLMNMHBN_02206	Polyketide synthase PksR	2.3.1.-	
g000187	GCF_000007445:NC_004431.1:2245422-2246669	GCF_000007445:PLMNMHBN_02210	2,3-dihydroxybenzoate-AMP ligase	6.3.2.-	
g000188	GCF_000007445:NC_004431.1:2246714-2246998	GCF_000007445:PLMNMHBN_02211	2,3-dihydroxybenzoate-AMP ligase	6.3.2.-	
g000189	GCF_000007445:NC_004431.1:2247129-2249150	GCF_000007445:PLMNMHBN_02212	Pesticin receptor		
g000190	GCF_000007445:NC_004431.1:2249798-2250547	GCF_000007445:PLMNMHBN_02213	hypothetical protein		
g000191	GCF_000007445:NC_004431.1:2253317-2252766	GCF_000007445:PLMNMHBN_02216	hypothetical protein		
g000192	GCF_000007445:NC_004431.1:2253816-2253361	GCF_000007445:PLMNMHBN_02217	hypothetical protein		
g000193	GCF_000007445:NC_004431.1:2258918-2259835	GCF_000007445:PLMNMHBN_02222	HTH-type transcriptional regulator GltC		
g000194	GCF_000007445:NC_004431.1:2265049-2264537	GCF_000007445:PLMNMHBN_02228	hypothetical protein		
g000195	GCF_000007445:NC_004431.1:2265806-2265084	GCF_000007445:PLMNMHBN_02229	Thioesterase PikA5	3.1.2.-	
g000196	GCF_000007445:NC_004431.1:2270901-2269816	GCF_000007445:PLMNMHBN_02232	Plipastatin synthase subunit B	2.3.1.-	
g000197	GCF_000007445:NC_004431.1:2274184-2270909	GCF_000007445:PLMNMHBN_02233	Tyrocidine synthase 3		
g000198	GCF_000007445:NC_004431.1:2275620-2274181	GCF_000007445:PLMNMHBN_02234	Multidrug export protein MepA		
g000199	GCF_000007445:NC_004431.1:2300478-2299348	GCF_000007445:PLMNMHBN_02241	putative acyl-CoA dehydrogenase fadE25	1.3.99.-	
g000200	GCF_000007445:NC_004431.1:2325486-2324842	GCF_000007445:PLMNMHBN_02258	putative protein YbdM		
g000201	GCF_000007445:NC_004431.1:2337495-2336638	GCF_000007445:PLMNMHBN_02269	hypothetical protein		
g000202	GCF_000007445:NC_004431.1:2343108-2343332	GCF_000007445:PLMNMHBN_02275	hypothetical protein		
g000203	GCF_000007445:NC_004431.1:2345772-2346125	GCF_000007445:PLMNMHBN_02278	hypothetical protein		
g000204	GCF_000007445:NC_004431.1:2360931-2361836	GCF_000007445:PLMNMHBN_02289	hypothetical protein		
g000205	GCF_000007445:NC_004431.1:2363039-2363716	GCF_000007445:PLMNMHBN_02291	hypothetical protein		
g000206	GCF_000007445:NC_004431.1:2363732-2364142	GCF_000007445:PLMNMHBN_02292	hypothetical protein		
g000207	GCF_000007445:NC_004431.1:2364363-2365184	GCF_000007445:PLMNMHBN_02293	hypothetical protein		
g000208	GCF_000007445:NC_004431.1:2365275-2365760	GCF_000007445:PLMNMHBN_02294	Antirestriction protein KlcA		
g000209	GCF_000007445:NC_004431.1:2367073-2367447	GCF_000007445:PLMNMHBN_02298	Cytoskeleton-binding toxin CbtA		
g000210	GCF_000007445:NC_004431.1:2379154-2380458	GCF_000007445:PLMNMHBN_02311	Histidinol dehydrogenase	1.1.1.23	
g000211	GCF_000007445:NC_004431.1:2400313-2399075	GCF_000007445:PLMNMHBN_02329	Putative O-antigen transporter		
g000212	GCF_000007445:NC_004431.1:2423392-2423192	GCF_000007445:PLMNMHBN_02349	Low molecular weight protein-tyrosine-phosphatase Wzb	3.1.3.48	
g000213	GCF_000007445:NC_004431.1:2424090-2423638	GCF_000007445:PLMNMHBN_02350	hypothetical protein		
g000214	GCF_000007445:NC_004431.1:2424776-2424132	GCF_000007445:PLMNMHBN_02351	hypothetical protein		
g000215	GCF_000007445:NC_004431.1:2434868-2434020	GCF_000007445:PLMNMHBN_02357	DNA-3-methyladenine glycosylase 2	3.2.2.21	
g000216	GCF_000007445:NC_004431.1:2438307-2436367	GCF_000007445:PLMNMHBN_02359	hypothetical protein		
g000217	GCF_000007445:NC_004431.1:2439065-2438304	GCF_000007445:PLMNMHBN_02360	hypothetical protein		
g000218	GCF_000007445:NC_004431.1:2440286-2440432	GCF_000007445:PLMNMHBN_02362	hypothetical protein		
