#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000157595.1	PRJNA224116	SAMN02595271	ACBA00000000.1	na	565660	1352	Enterococcus faecium 1,231,410	strain=1,231,410		latest	Scaffold	Major	Full	2009/06/22	ASM15759v1	Broad Institute	GCA_000157595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/595/GCF_000157595.1_ASM15759v1		
GCF_000157615.1	PRJNA224116	SAMN02595272	ACBB00000000.1	na	565661	1352	Enterococcus faecium 1,231,408	strain=1,231,408		latest	Scaffold	Major	Full	2009/06/16	ASM15761v1	Broad Institute	GCA_000157615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/615/GCF_000157615.1_ASM15761v1		
GCF_000157635.1	PRJNA224116	SAMN02595273	ACBC00000000.1	na	565662	1352	Enterococcus faecium Com12	strain=Com12		latest	Scaffold	Major	Full	2009/06/05	ASM15763v1	Broad Institute	GCA_000157635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/635/GCF_000157635.1_ASM15763v1		
GCF_000157655.1	PRJNA224116	SAMN02595274	ACBD00000000.1	na	565663	1352	Enterococcus faecium Com15	strain=Com15		latest	Scaffold	Major	Full	2009/06/05	ASM15765v1	Broad Institute	GCA_000157655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/655/GCF_000157655.1_ASM15765v1		
GCF_000159675.1	PRJNA224116	SAMN00002238	ACHL00000000.1	na	525279	1352	Enterococcus faecium TX1330	strain=TX1330		latest	Scaffold	Major	Full	2009/05/15	ASM15967v1	Baylor College of Medicine	GCA_000159675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/675/GCF_000159675.1_ASM15967v1		
GCF_000160315.2	PRJNA224116	SAMN02595312	ACJQ00000000.2	na	565664	1352	Enterococcus faecium C68	strain=C68		latest	Contig	Major	Full	2014/02/28	EFCM_C68_V3	Broad Institute	GCA_000160315.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/315/GCF_000160315.2_EFCM_C68_V3		
GCF_000161855.1	PRJNA224116	SAMN02595327	ACOB00000000.1	na	565666	1352	Enterococcus faecium TC 6	strain=TC 6		latest	Scaffold	Major	Full	2009/09/29	EFCM_TC6_V1	Broad Institute	GCA_000161855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/855/GCF_000161855.1_EFCM_TC6_V1		
GCF_000166815.1	PRJNA224116	SAMN02440386	AAAK00000000.3	na	333849	1352	Enterococcus faecium DO	strain=DO		latest	Contig	Major	Full	2005/06/24	ASM16681v1	DOE Joint Genome Institute	GCA_000166815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/815/GCF_000166815.1_ASM16681v1		
GCF_000172615.1	PRJNA224116	SAMN02471501	ABQA00000000.1	na	529885	1352	Enterococcus faecium E980	strain=E980		latest	Contig	Major	Full	2010/03/26	ASM17261v1	Dept. of Medical Microbiology, University Medical Center Utrecht, Utrecht, The Netherlands	GCA_000172615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/615/GCF_000172615.1_ASM17261v1		
GCF_000172655.1	PRJNA224116	SAMN02471502	ABQI00000000.1	na	535205	1352	Enterococcus faecium E1071	strain=E1071		latest	Contig	Major	Full	2010/03/26	ASM17265v1	Dept. of Medical Microbiology, University Medical Center Utrecht	GCA_000172655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/655/GCF_000172655.1_ASM17265v1		
GCF_000172675.1	PRJNA224116	SAMN02471503	ABQJ00000000.1	na	535206	1352	Enterococcus faecium E1162	strain=E1162		latest	Contig	Major	Full	2010/03/26	ASM17267v1	Dept. of Medical Microbiology, University Medical Center Utrecht	GCA_000172675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/675/GCF_000172675.1_ASM17267v1		
GCF_000172835.1	PRJNA224116	SAMN02471514	ABRY00000000.1	na	544875	1352	Enterococcus faecium E1636	strain=E1636		latest	Contig	Major	Full	2010/03/26	ASM17283v1	Dept. of Medical Microbiology, University Medical Center Utrecht, Utrecht, The Netherlands	GCA_000172835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/835/GCF_000172835.1_ASM17283v1		
GCF_000172875.1	PRJNA224116	SAMN02471504	ABSC00000000.1	na	546340	1352	Enterococcus faecium E1679	strain=E1679		latest	Contig	Major	Full	2010/03/26	ASM17287v1	Dept. of Medical Microbiology, University Medical Center Utrecht, Utrecht, The Netherlands	GCA_000172875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/875/GCF_000172875.1_ASM17287v1		
GCF_000172915.1	PRJNA224116	SAMN02471515	ABSW00000000.1	na	547468	1352	Enterococcus faecium U0317	strain=U0317		latest	Contig	Major	Full	2010/03/26	ASM17291v1	Dept. of Medical Microbiology, University Medical Center Utrecht, Utrecht, The Netherlands	GCA_000172915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/915/GCF_000172915.1_ASM17291v1		
GCF_000174395.2	PRJNA55353	SAMN00002237		reference genome	333849	1352	Enterococcus faecium DO	strain=DO		latest	Complete Genome	Major	Full	2012/05/25	ASM17439v2	Baylor College of Medicine	GCA_000174395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/395/GCF_000174395.2_ASM17439v2		
GCF_000174935.1	PRJNA224116	SAMN02471489	ACOS00000000.1	na	645663	1352	Enterococcus faecium E1039	strain=E1039		latest	Contig	Major	Full	2010/03/26	ASM17493v1	Dept. of Medical Microbiology, University Medical Center Utrecht	GCA_000174935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/935/GCF_000174935.1_ASM17493v1		
GCF_000176295.1	PRJNA224116	SAMN02595363	ACZZ00000000.1	na	565665	1352	Enterococcus faecium D344SRF	strain=D344SRF		latest	Contig	Major	Full	2010/02/18	EFCS_D344SRF_V1	Broad Institute	GCA_000176295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/295/GCF_000176295.1_EFCS_D344SRF_V1		
GCF_000178235.1	PRJNA224116	SAMN00014270	ADMM00000000.1	na	791161	1352	Enterococcus faecium PC4.1	strain=PC4.1		latest	Contig	Major	Full	2010/03/30	ASM17823v1	J. Craig Venter Institute	GCA_000178235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/235/GCF_000178235.1_ASM17823v1		
GCF_000239095.1	PRJNA224116	SAMN02471513	AEDZ00000000.1	na	873127	1352	Enterococcus faecium E4453	strain=E4453		latest	Contig	Major	Full	2011/12/20	ASM23909v2	University Medical Center Utrecht, Department of Medical Microbiology, The Netherlands, Utrecht	GCA_000239095.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/095/GCF_000239095.1_ASM23909v2		
GCF_000239115.1	PRJNA224116	SAMN02471474	AEOU00000000.1	na	933356	1352	Enterococcus faecium E4452	strain=E4452		latest	Contig	Major	Full	2011/12/20	ASM23911v2	Department of Medical Microbiology, University Medical Center Utrecht	GCA_000239115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/115/GCF_000239115.1_ASM23911v2		
GCF_000250945.1	PRJNA224116	SAMN02604218		na	1155766	1352	Enterococcus faecium Aus0004	strain=Aus0004		latest	Complete Genome	Major	Full	2012/03/01	ASM25094v1	University of Melbourne, Australia	GCA_000250945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/945/GCF_000250945.1_ASM25094v1		
GCF_000258325.1	PRJNA224116	SAMN02469377	AJKH00000000.1	na	1167697	1352	Enterococcus faecium LCT-EF90	strain=LCT-EF90		latest	Scaffold	Major	Full	2012/04/12	Enterococcus faecium LCT-EF90,version 1.0	BGI-shenzhen	GCA_000258325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/325/GCF_000258325.1_Enterococcus_faecium_LCT-EF90_version_1.0		
GCF_000262105.1	PRJNA224116	SAMN02469370	AJUP00000000.1	na	1178528	1352	Enterococcus faecium LCT-EF128	strain=LCT-EF128		latest	Scaffold	Major	Full	2012/06/13	Enterococcus faecium LCT-EF128,version 1.0	BGI-shenzhen	GCA_000262105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/105/GCF_000262105.1_Enterococcus_faecium_LCT-EF128_version_1.0		
GCF_000294345.2	PRJNA224116	SAMN02299478	AMAA00000000.1	na	1134802	1352	Enterococcus faecium TX1337RF	strain=TX1337RF		latest	Scaffold	Minor	Full	2012/08/29	ASM29434v2	Washington University	GCA_000294345.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/345/GCF_000294345.2_ASM29434v2		
GCF_000294815.2	PRJNA224116	SAMN02299516	AMAC00000000.1	na	1134841	1352	Enterococcus faecium V689	strain=V689		latest	Scaffold	Minor	Full	2012/09/11	ASM29481v2	Washington University	GCA_000294815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/815/GCF_000294815.2_ASM29481v2		
GCF_000294835.2	PRJNA224116	SAMN02299515	AMAD00000000.1	na	1134840	1352	Enterococcus faecium S447	strain=S447		latest	Scaffold	Minor	Full	2012/09/11	ASM29483v2	Washington University	GCA_000294835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/835/GCF_000294835.2_ASM29483v2		
GCF_000294855.2	PRJNA224116	SAMN02299514	AMAE00000000.1	na	1134839	1352	Enterococcus faecium R501	strain=R501		latest	Scaffold	Minor	Full	2012/09/11	ASM29485v2	Washington University	GCA_000294855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/855/GCF_000294855.2_ASM29485v2		
GCF_000294875.2	PRJNA224116	SAMN02299513	AMAF00000000.1	na	1134838	1352	Enterococcus faecium R499	strain=R499		latest	Scaffold	Minor	Full	2012/09/11	ASM29487v2	Washington University	GCA_000294875.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/875/GCF_000294875.2_ASM29487v2		
GCF_000294895.2	PRJNA224116	SAMN02299512	AMAG00000000.1	na	1134837	1352	Enterococcus faecium R497	strain=R497		latest	Scaffold	Minor	Full	2012/09/11	ASM29489v2	Washington University	GCA_000294895.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/895/GCF_000294895.2_ASM29489v2		
GCF_000294915.2	PRJNA224116	SAMN02299511	AMAH00000000.1	na	1134836	1352	Enterococcus faecium R496	strain=R496		latest	Scaffold	Minor	Full	2012/09/11	ASM29491v2	Washington University	GCA_000294915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/915/GCF_000294915.2_ASM29491v2		
GCF_000294935.2	PRJNA224116	SAMN02299510	AMAI00000000.1	na	1134835	1352	Enterococcus faecium R494	strain=R494		latest	Scaffold	Minor	Full	2012/09/11	ASM29493v2	Washington University	GCA_000294935.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/935/GCF_000294935.2_ASM29493v2		
GCF_000294955.2	PRJNA224116	SAMN02299509	AMAJ00000000.1	na	1134834	1352	Enterococcus faecium R446	strain=R446		latest	Scaffold	Minor	Full	2012/09/11	ASM29495v2	Washington University	GCA_000294955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/955/GCF_000294955.2_ASM29495v2		
GCF_000294975.2	PRJNA224116	SAMN02299508	AMAK00000000.1	na	1134833	1352	Enterococcus faecium P1986	strain=P1986		latest	Scaffold	Minor	Full	2012/09/11	ASM29497v2	Washington University	GCA_000294975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/975/GCF_000294975.2_ASM29497v2		
GCF_000294995.2	PRJNA224116	SAMN02299507	AMAL00000000.1	na	1134832	1352	Enterococcus faecium P1190	strain=P1190		latest	Scaffold	Minor	Full	2012/09/11	ASM29499v2	Washington University	GCA_000294995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/995/GCF_000294995.2_ASM29499v2		
GCF_000295015.1	PRJNA224116	SAMN02299506	AMAM00000000.1	na	1134831	1352	Enterococcus faecium P1140	strain=P1140		latest	Scaffold	Major	Full	2012/09/11	ASM29501v1	Washington University	GCA_000295015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/015/GCF_000295015.1_ASM29501v1		
GCF_000295035.2	PRJNA224116	SAMN02299505	AMAN00000000.1	na	1134830	1352	Enterococcus faecium P1139	strain=P1139		latest	Scaffold	Minor	Full	2012/09/11	ASM29503v2	Washington University	GCA_000295035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/035/GCF_000295035.2_ASM29503v2		
GCF_000295055.2	PRJNA224116	SAMN02299479	AMBN00000000.1	na	1134804	1352	Enterococcus faecium 503	strain=503		latest	Scaffold	Minor	Full	2012/09/11	ASM29505v2	Washington University	GCA_000295055.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/055/GCF_000295055.2_ASM29505v2		
GCF_000295075.2	PRJNA224116	SAMN02299498	AMAU00000000.1	na	1134823	1352	Enterococcus faecium ERV168	strain=ERV168		latest	Scaffold	Minor	Full	2012/09/11	ASM29507v2	Washington University	GCA_000295075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/075/GCF_000295075.2_ASM29507v2		
GCF_000295115.2	PRJNA224116	SAMN02299499	AMAT00000000.1	na	1134824	1352	Enterococcus faecium ERV26	strain=ERV26		latest	Scaffold	Minor	Full	2012/09/11	ASM29511v2	Washington University	GCA_000295115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/115/GCF_000295115.2_ASM29511v2		
GCF_000295135.2	PRJNA224116	SAMN02299504	AMAO00000000.1	na	1134829	1352	Enterococcus faecium P1137	strain=P1137		latest	Scaffold	Minor	Full	2012/09/11	ASM29513v2	Washington University	GCA_000295135.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/135/GCF_000295135.2_ASM29513v2		
GCF_000295155.2	PRJNA224116	SAMN02299503	AMAP00000000.1	na	1134828	1352	Enterococcus faecium P1123	strain=P1123		latest	Scaffold	Minor	Full	2012/09/11	ASM29515v2	Washington University	GCA_000295155.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/155/GCF_000295155.2_ASM29515v2		
GCF_000295175.2	PRJNA224116	SAMN02299502	AMAQ00000000.1	na	1134827	1352	Enterococcus faecium ERV99	strain=ERV99		latest	Scaffold	Minor	Full	2012/09/11	ASM29517v2	Washington University	GCA_000295175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/175/GCF_000295175.2_ASM29517v2		
GCF_000295195.2	PRJNA224116	SAMN02299501	AMAR00000000.1	na	1134826	1352	Enterococcus faecium ERV69	strain=ERV69		latest	Scaffold	Minor	Full	2012/09/11	ASM29519v2	Washington University	GCA_000295195.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/195/GCF_000295195.2_ASM29519v2		
GCF_000295215.2	PRJNA224116	SAMN02299500	AMAS00000000.1	na	1134825	1352	Enterococcus faecium ERV38	strain=ERV38		latest	Scaffold	Minor	Full	2012/09/11	ASM29521v2	Washington University	GCA_000295215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/215/GCF_000295215.2_ASM29521v2		
GCF_000295235.2	PRJNA224116	SAMN02299497	AMAV00000000.1	na	1134822	1352	Enterococcus faecium ERV165	strain=ERV165		latest	Scaffold	Minor	Full	2012/09/11	ASM29523v2	Washington University	GCA_000295235.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/235/GCF_000295235.2_ASM29523v2		
GCF_000295255.2	PRJNA224116	SAMN02299496	AMAW00000000.1	na	1134821	1352	Enterococcus faecium ERV161	strain=ERV161		latest	Scaffold	Minor	Full	2012/09/11	ASM29525v2	Washington University	GCA_000295255.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/255/GCF_000295255.2_ASM29525v2		
GCF_000295275.2	PRJNA224116	SAMN02299480	AMBM00000000.1	na	1134805	1352	Enterococcus faecium 504	strain=504		latest	Scaffold	Minor	Full	2012/09/11	ASM29527v2	Washington University	GCA_000295275.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/275/GCF_000295275.2_ASM29527v2		
GCF_000295315.2	PRJNA224116	SAMN02299489	AMBD00000000.1	na	1134814	1352	Enterococcus faecium C1904	strain=C1904		latest	Scaffold	Minor	Full	2012/09/11	ASM29531v2	Washington University	GCA_000295315.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/315/GCF_000295315.2_ASM29531v2		
GCF_000295335.2	PRJNA224116	SAMN02299481	AMBL00000000.1	na	1134806	1352	Enterococcus faecium 505	strain=505		latest	Scaffold	Minor	Full	2012/09/11	ASM29533v2	Washington University	GCA_000295335.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/335/GCF_000295335.2_ASM29533v2		
GCF_000295355.2	PRJNA224116	SAMN02299495	AMAX00000000.1	na	1134820	1352	Enterococcus faecium ERV102	strain=ERV102		latest	Scaffold	Minor	Full	2012/09/11	ASM29535v2	Washington University	GCA_000295355.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/355/GCF_000295355.2_ASM29535v2		
GCF_000295375.2	PRJNA224116	SAMN02299490	AMBC00000000.1	na	1134815	1352	Enterococcus faecium C497	strain=C497		latest	Scaffold	Minor	Full	2012/09/11	ASM29537v2	Washington University	GCA_000295375.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/375/GCF_000295375.2_ASM29537v2		
GCF_000295395.2	PRJNA224116	SAMN02299491	AMBB00000000.1	na	1134816	1352	Enterococcus faecium C621	strain=C621		latest	Scaffold	Minor	Full	2012/09/11	ASM29539v2	Washington University	GCA_000295395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/395/GCF_000295395.2_ASM29539v2		
GCF_000295415.2	PRJNA224116	SAMN02299492	AMBA00000000.1	na	1134817	1352	Enterococcus faecium E417	strain=E417		latest	Scaffold	Minor	Full	2012/09/11	ASM29541v2	Washington University	GCA_000295415.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/415/GCF_000295415.2_ASM29541v2		
GCF_000295435.2	PRJNA224116	SAMN02299494	AMAY00000000.1	na	1134819	1352	Enterococcus faecium ERV1	strain=ERV1		latest	Scaffold	Minor	Full	2012/09/11	ASM29543v2	Washington University	GCA_000295435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/435/GCF_000295435.2_ASM29543v2		
GCF_000295455.2	PRJNA224116	SAMN02299493	AMAZ00000000.1	na	1134818	1352	Enterococcus faecium E422	strain=E422		latest	Scaffold	Minor	Full	2012/09/11	ASM29545v2	Washington University	GCA_000295455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/455/GCF_000295455.2_ASM29545v2		
GCF_000295495.2	PRJNA224116	SAMN02299482	AMBK00000000.1	na	1134807	1352	Enterococcus faecium 506	strain=506		latest	Scaffold	Minor	Full	2012/09/11	ASM29549v2	Washington University	GCA_000295495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/495/GCF_000295495.2_ASM29549v2		
GCF_000295515.2	PRJNA224116	SAMN02299483	AMBJ00000000.1	na	1134808	1352	Enterococcus faecium 509	strain=509		latest	Scaffold	Minor	Full	2012/09/11	ASM29551v2	Washington University	GCA_000295515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/515/GCF_000295515.2_ASM29551v2		
GCF_000295535.2	PRJNA224116	SAMN02299484	AMBI00000000.1	na	1134809	1352	Enterococcus faecium 510	strain=510		latest	Scaffold	Minor	Full	2012/09/11	ASM29553v2	Washington University	GCA_000295535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/535/GCF_000295535.2_ASM29553v2		
GCF_000295555.2	PRJNA224116	SAMN02299485	AMBH00000000.1	na	1134810	1352	Enterococcus faecium 511	strain=511		latest	Scaffold	Minor	Full	2012/09/11	ASM29555v2	Washington University	GCA_000295555.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/555/GCF_000295555.2_ASM29555v2		
GCF_000295575.2	PRJNA224116	SAMN02299486	AMBG00000000.1	na	1134811	1352	Enterococcus faecium 513	strain=513		latest	Scaffold	Minor	Full	2012/09/11	ASM29557v2	Washington University	GCA_000295575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/575/GCF_000295575.2_ASM29557v2		
GCF_000295595.2	PRJNA224116	SAMN02299488	AMBE00000000.1	na	1134813	1352	Enterococcus faecium 515	strain=515		latest	Scaffold	Minor	Full	2012/09/11	ASM29559v2	Washington University	GCA_000295595.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/595/GCF_000295595.2_ASM29559v2		
GCF_000295615.2	PRJNA224116	SAMN02299487	AMBF00000000.1	na	1134812	1352	Enterococcus faecium 514	strain=514		latest	Scaffold	Minor	Full	2012/09/11	ASM29561v2	Washington University	GCA_000295615.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/615/GCF_000295615.2_ASM29561v2		
GCF_000313155.1	PRJNA224116	SAMN02469379	ANAI00000000.1	na	1245477	1352	Enterococcus faecium LCT-EF20	strain=LCT-EF20		latest	Scaffold	Major	Full	2013/01/03	ASM31315v1	BGI-shenzhen	GCA_000313155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/155/GCF_000313155.1_ASM31315v1		
GCF_000313195.1	PRJNA224116	SAMN02469383	ANAJ00000000.1	na	1245478	1352	Enterococcus faecium LCT-EF258	strain=LCT-EF258		latest	Scaffold	Major	Full	2013/01/03	ASM31319v1	BGI-shenzhen	GCA_000313195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/195/GCF_000313195.1_ASM31319v1		
GCF_000315405.1	PRJNA224116	SAMN02463889	AGZB00000000.1	na	883162	1352	Enterococcus faecium FB129-CNAB4	strain=FB129-CNAB4		latest	Scaffold	Major	Full	2012/11/30	Ente_dura_FB129-CNAB4_V1	Broad Institute	GCA_000315405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/405/GCF_000315405.1_Ente_dura_FB129-CNAB4_V1		
