assembly_accession	Description	Phylogroup	#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP	taxid	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	isComplete	isContamination	isHeterogeneity
GCF_000017765.1	Escherichia coli HS, complete genome	A	Escherichia coli HS	HS	19668	SAMN02604037 	PRJNA13959	Proteobacteria	Gammaproteobacteria	4.64354	50.8	chromosome:NC_009800.1/CP000802.1	-	1	4757	4407	2007-09-10	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1	331112	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	4643538	0	1	1	4643538	4643538	4643538	4643538	4643538	4643538	50.8	0	87.7	11	4324	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000017985.1	Escherichia coli B str. REL606, complete genome	A	Escherichia coli B str. REL606	REL606	19668	SAMN02603421 	PRJNA18281	Proteobacteria	Gammaproteobacteria	4.62981	50.8	chromosome:NC_012967.1/CP000819.1	-	1	4753	4401	2009-07-15	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/985/GCF_000017985.1_ASM1798v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/985/GCA_000017985.1_ASM1798v1	413997	f__Enterobacteriaceae (UID5124)	134	1169	335	100	0.04	0	4629812	0	1	1	4629812	4629812	4629812	4629812	4629812	4629812	50.8	0	87.73	11	4322	0	1168	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000019385.1	Escherichia coli ATCC 8739, complete genome	A	Escherichia coli ATCC 8739	ATCC 8739	19668	SAMN02598405 	PRJNA18083	Proteobacteria	Gammaproteobacteria	4.74622	50.9	chromosome:NC_010468.1/CP000946.1	-	1	4827	4494	2008-03-11	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/385/GCF_000019385.1_ASM1938v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/385/GCA_000019385.1_ASM1938v1	481805	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4746218	0	1	1	4746218	4746218	4746218	4746218	4746218	4746218	50.9	0	87.8	11	4393	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000019645.1	Escherichia coli SMS-3-5, complete genome	F	Escherichia coli SMS-3-5	SMS-3-5	19668	SAMN02604066 	PRJNA19469	Proteobacteria	Gammaproteobacteria	5.21538	50.4954	chromosome:NC_010498.1/CP000970.1; plasmid pSMS35_130:NC_010488.1/CP000971.1; plasmid pSMS35_3:NC_010487.1/CP000974.1; plasmid pSMS35_4:NC_010486.1/CP000973.1; plasmid pSMS35_8:NC_010485.1/CP000972.1	-	5	5332	4917	2008-03-20	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/645/GCF_000019645.1_ASM1964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/645/GCA_000019645.1_ASM1964v1	439855	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.28	0	5215377	0	5	5	5068389	5068389	1043075	1043075	5068389	5068389	50.5	3.74	87.7	11	4823	3	1199	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000021125.1	Escherichia coli O157:H7 str. EC4115, complete genome	E	Escherichia coli O157:H7 str. EC4115	EC4115	19668	SAMN02603441 	PRJNA27739	Proteobacteria	Gammaproteobacteria	5.70417	50.386	chromosome:NC_011353.1/CP001164.1; plasmid pEC4115:NC_011351.1/CP001165.1; plasmid pO157:NC_011350.1/CP001163.1	-	3	6135	5697	2008-10-08	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/125/GCF_000021125.1_ASM2112v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/125/GCA_000021125.1_ASM2112v1	444450	f__Enterobacteriaceae (UID5124)	134	1171	335	99.97	0.04	0	5704171	0	3	3	5572075	5572075	1901390	1901390	5572075	5572075	50.4	6.34	87.4	11	5550	1	1169	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000022225.1	Escherichia coli O157:H7 str. TW14359, complete genome	E	Escherichia coli O157:H7 str. TW14359	TW14359	19668	SAMN02604255 	PRJNA30045	Proteobacteria	Gammaproteobacteria	5.62274	50.4563	chromosome:NC_013008.1/CP001368.1; plasmid pO157:NC_013010.1/CP001369.1	-	2	6021	5590	2009-07-23	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/225/GCF_000022225.1_ASM2222v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/225/GCA_000022225.1_ASM2222v1	544404	f__Enterobacteriaceae (UID5124)	134	1171	335	99.97	0.04	0	5622737	0	2	2	5528136	5528136	2811368	2811368	5528136	5528136	50.5	1.82	87.43	11	5445	1	1169	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000023365.1	Escherichia coli DH1, complete genome	A	Escherichia coli DH1	DH1	19668	SAMN02598470 	PRJNA30031	Proteobacteria	Gammaproteobacteria	4.63071	50.8	chromosome:NC_017625.1/CP001637.1	-	1	4764	4441	2009-10-05	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/365/GCF_000023365.1_ASM2336v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/365/GCA_000023365.1_ASM2336v1	536056	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4630707	0	1	1	4630707	4630707	4630707	4630707	4630707	4630707	50.8	0	87.57	11	4309	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000023665.1	Escherichia coli 'BL21-Gold(DE3)pLysS AG', complete genome	A	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	BL21-Gold(DE3)pLysS AG	19668	SAMN00002656 	PRJNA30681	Proteobacteria	Gammaproteobacteria	4.57094	50.8	chromosome:NC_012947.1/CP001665.1	-	1	4738	4368	2009-07-09	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/665/GCF_000023665.1_ASM2366v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/665/GCA_000023665.1_ASM2366v1	866768	f__Enterobacteriaceae (UID5124)	134	1169	335	99.39	0.04	0	4570938	0	1	1	4570938	4570938	4570938	4570938	4570938	4570938	50.8	0	87.72	11	4299	7	1161	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000025165.1	Escherichia coli O55:H7 str. CB9615, complete genome	E	Escherichia coli O55:H7 str. CB9615	CB9615	19668	SAMN02603636 	PRJNA42729	Proteobacteria	Gammaproteobacteria	5.45235	50.4806	chromosome:NC_013941.1/CP001846.1; plasmid pO55:NC_013942.1/CP001847.1	-	2	5714	5310	2010-03-08	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/165/GCF_000025165.1_ASM2516v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/165/GCA_000025165.1_ASM2516v1	701177	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.09	0	5452353	0	2	2	5386352	5386352	2726176	2726176	5386352	5386352	50.5	1.15	87.68	11	5152	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000025745.1	Escherichia coli IHE3034, complete genome	B2	Escherichia coli IHE3034	IHE3034	19668	SAMN02603334 	PRJNA43693	Proteobacteria	Gammaproteobacteria	5.10838	50.7	chromosome:NC_017628.1/CP001969.1	-	1	5304	4988	2010-04-12	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/745/GCF_000025745.1_ASM2574v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/745/GCA_000025745.1_ASM2574v1	714962	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.08	0	5108383	0	1	1	5108383	5108383	5108383	5108383	5108383	5108383	50.7	0	88.18	11	4816	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000026245.1	Escherichia coli 55989 chromosome, complete genome	B1	Escherichia coli 55989	55989	19668	SAMEA3138229 	PRJNA33413	Proteobacteria	Gammaproteobacteria	5.15486	50.7	chromosome:NC_011748.1/CU928145.2	-	1	5363	5004	2008-12-16	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/245/GCF_000026245.1_ASM2624v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/245/GCA_000026245.1_ASM2624v1	585055	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.41	0	5154862	0	1	1	5154862	5154862	5154862	5154862	5154862	5154862	50.7	0	87.65	11	4846	3	1201	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000026265.1	Escherichia coli IAI1 chromosome, complete genome	B1	Escherichia coli IAI1	IAI1	19668	SAMEA3138230 	PRJNA33373	Proteobacteria	Gammaproteobacteria	4.70056	50.8	chromosome:NC_011741.1/CU928160.2	-	1	4786	4513	2008-12-16	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/265/GCF_000026265.1_ASM2626v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/265/GCA_000026265.1_ASM2626v1	585034	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	4700560	0	1	1	4700560	4700560	4700560	4700560	4700560	4700560	50.8	0	88.13	11	4329	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000026345.1	Escherichia coli IAI39 chromosome, complete genome	F	Escherichia coli IAI39	IAI39	19668	SAMEA3138234 	PRJNA33411	Proteobacteria	Gammaproteobacteria	5.13207	50.6	chromosome:NC_011750.1/CU928164.2	-	1	5092	4725	2008-12-16	2016-08-28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/345/GCF_000026345.1_ASM2634v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1	585057	f__Enterobacteriaceae (UID5124)	134	1173	336	98.78	0.04	0	5132068	0	1	1	5132068	5132068	5132068	5132068	5132068	5132068	50.6	0	88.03	11	4863	6	1166	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000026545.1	Escherichia coli 0127:H6 E2348/69 complete genome, strain E2348/69	B2	Escherichia coli O127:H6 str. E2348/69	E2348/69	19668	SAMEA1705959 	PRJEA32571	Proteobacteria	Gammaproteobacteria	5.06968	50.5524	chromosome:NC_011601.1/FM180568.1; plasmid pE2348-2:NC_011602.1/FM180570.1; plasmid pMAR2:NC_011603.1/FM180569.1	-	3	5388	4986	2008-11-26	2017-05-28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/545/GCF_000026545.1_ASM2654v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/545/GCA_000026545.1_ASM2654v1	574521	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	5069678	0	3	3	4965553	4965553	1689892	1689892	4965553	4965553	50.5	1.94	87.53	11	4873	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000091005.1	Escherichia coli O26:H11 str. 11368 DNA, complete genome	B1	Escherichia coli O26:H11 str. 11368	11368	19668	SAMD00060955 	PRJDA32509	Proteobacteria	Gammaproteobacteria	5.85553	50.664	chromosome:NC_013361.1/AP010953.1; plasmid pO26_1:NC_013369.1/AP010954.1; plasmid pO26_2:NC_013362.1/AP010955.1; plasmid pO26_3:NC_013363.1/AP010956.1; plasmid pO26_4:NC_014543.1/AP010957.1	-	5	6377	5906	2009-09-10	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/005/GCF_000091005.1_ASM9100v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/005/GCA_000091005.1_ASM9100v1	573235	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5855531	0	5	5	5697240	5697240	1171106	1171106	5697240	5697240	50.6	3.89	87.16	11	5769	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000148365.1	Escherichia coli ABU 83972, complete genome	B2	Escherichia coli ABU 83972	ABU 83972	19668	SAMN02603258 	PRJNA38725	Proteobacteria	Gammaproteobacteria	5.13296	50.6001	chromosome:NC_017631.1/CP001671.1; plasmid pABU:NC_017629.1/CP001833.1	-	2	5282	4942	2010-09-22	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/365/GCF_000148365.1_ASM14836v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/365/GCA_000148365.1_ASM14836v1	655817	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.08	0	5132961	1	2	2	5131397	5131397	2566480	2566480	5131397	5131397	50.6	0.24	87.48	11	4742	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000148605.1	Escherichia coli UM146, complete genome	B2	Escherichia coli UM146	UM146	19668	SAMN00017915 	PRJNA50883	Proteobacteria	Gammaproteobacteria	5.10756	50.609	chromosome:NC_017632.1/CP002167.1; plasmid pUM146:NC_017630.1/CP002168.1	-	2	5286	4862	2010-09-24	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/605/GCF_000148605.1_ASM14860v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/605/GCA_000148605.1_ASM14860v1	869729	f__Enterobacteriaceae (UID5124)	134	1173	336	99.63	0.08	0	5107563	8	2	2	4993013	4993005	2553781	2553777	4993013	4993005	50.6	0.29	87.61	11	4805	3	1168	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000183345.1	Escherichia coli O83:H1 str. NRG 857C chromosome, complete genome	B2	Escherichia coli O83:H1 str. NRG 857C	NRG 857C	19668	SAMN02603727 	PRJNA41221	Proteobacteria	Gammaproteobacteria	4.89488	50.706	chromosome:NC_017634.1/CP001855.1; plasmid pO83_CORR:NC_017659.1/CP001856.1	-	2	4686	4578	2010-11-30	2017-03-16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/345/GCF_000183345.1_ASM18334v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/345/GCA_000183345.1_ASM18334v1	685038	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.14	0	4894879	0	2	2	4747819	4747819	2447439	2447439	4747819	4747819	50.7	0.17	87.99	11	4543	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000184185.1	Escherichia coli W, complete genome	B1	Escherichia coli W	W	19668	SAMN02602978 	PRJNA48011	Proteobacteria	Gammaproteobacteria	5.00886	50.7764	chromosome:NC_017635.1/CP002185.1; plasmid pRK1:NC_017637.1/CP002186.1; plasmid pRK2:NC_017636.1/CP002187.1	-	3	5195	4901	2010-12-14	2017-03-16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/185/GCF_000184185.1_ASM18418v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/185/GCA_000184185.1_ASM18418v1	566546	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	5008864	1	3	3	4900968	4900967	1669621	1669621	4900968	4900967	50.8	2.81	88.21	11	4706	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000210475.1	Escherichia coli ETEC H10407, complete genome	A	Escherichia coli ETEC H10407	ETEC H10407	19668	SAMEA2272237 	PRJEA42749	Proteobacteria	Gammaproteobacteria	5.32589	50.7287	chromosome:NC_017633.1/FN649414.1; plasmid p52:NC_017721.1/FN649415.1; plasmid p58:NC_017723.1/FN649416.1; plasmid p666:NC_017722.1/FN649417.1; plasmid p948:NC_017724.1/FN649418.1	-	5	5636	5148	2010-10-21	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/475/GCF_000210475.1_ASM21047v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/475/GCA_000210475.1_ASM21047v1	316401	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.48	0	5325888	0	5	5	5153435	5153435	1065177	1065177	5153435	5153435	50.7	2.14	87.47	11	5130	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000212715.2	Escherichia coli UMNK88, complete genome	A	Escherichia coli UMNK88	UMNK88	19668	SAMN02604221 	PRJNA42137	Proteobacteria	Gammaproteobacteria	5.66676	50.7397	chromosome:NC_017641.1/CP002729.1; plasmid pUMNK88:NC_017645.1/HQ023862.1; plasmid pUMNK88_91:NC_017642.1/CP002731.1; plasmid pUMNK88_Ent:NC_017640.1/CP002732.1; plasmid pUMNK88_Hly:NC_017643.1/CP002733.1; plasmid pUMNK88_K88:NC_017639.1/CP002730.1	-	6	6108	5629	2011-05-09	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/715/GCF_000212715.2_ASM21271v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/715/GCA_000212715.2_ASM21271v2	696406	f__Enterobacteriaceae (UID5124)	134	1173	336	100	0.3	0	5666764	0	6	6	5186416	5186416	944460	944460	5186416	5186416	50.8	1.05	87.2	11	5589	0	1168	5	0	0	0	complete	non-contaminate	non-heterogeneity
